,11,12,21,22,23,24,31,32
11,0.0000,0.0615,0.0231,0.0538,0.3154,0.2385,0.0692,0.2077
12,0.0615,0.0000,0.0462,0.0923,0.2923,0.1923,0.1000,0.2385
21,0.0231,0.0462,0.0000,0.0615,0.3077,0.2308,0.0769,0.2231
22,0.0538,0.0923,0.0615,0.0000,0.3154,0.2615,0.1077,0.2154
23,0.3154,0.2923,0.3077,0.3154,0.0000,0.3538,0.3385,0.3923
24,0.2385,0.1923,0.2308,0.2615,0.3538,0.0000,0.2692,0.3154
31,0.0692,0.1000,0.0769,0.1077,0.3385,0.2692,0.0000,0.2538
32,0.2077,0.2385,0.2231,0.2154,0.3923,0.3154,0.2538,0.0000
