unit,base,witness,reading,tier,major,minor
96,χειρας,32,ς,substantive,substantive,lexical-substitution
97,ανθρωπων,24,ανθρωπως,mechanical,mechanical,single-letter-slip
97,ανθρωπων,32,ανδρωπων,mechanical,mechanical,single-letter-slip
99,σταυρωθηναι,12,σταρωθηναι,mechanical,mechanical,single-letter-slip
99,σταυρωθηναι,21,σταρωθηναι,mechanical,mechanical,single-letter-slip
99,σταυρωθηναι,23,σταυρωθηνας,mechanical,mechanical,single-letter-slip
99,σταυρωθηναι,24,στυρωθηναι,mechanical,mechanical,single-letter-slip
99,σταυρωθηναι,31,σταυροθηναι,orthographic,orthographic,vowel-interchange
101,εν,12,τη,mechanical,mechanical,minor-corruption
101,εν,21,[om],substantive,substantive,omission
101,εν,23,τη,mechanical,mechanical,minor-corruption
101,εν,24,τη,mechanical,mechanical,minor-corruption
102,τριτη,23,τρπη,mechanical,mechanical,minor-corruption
103,μηερα,12,ημερα,mechanical,mechanical,metathesis
103,μηερα,23,ημερα,mechanical,mechanical,metathesis
103,μηερα,24,ημερα,mechanical,mechanical,metathesis
103,μηερα,31,ημερα,mechanical,mechanical,metathesis
106,εμνησθησαν,23,ησθησαν,substantive,substantive,lexical-substitution
109,αυτου·,12,αυτου,mechanical,mechanical,single-letter-slip
109,αυτου·,23,αυτου,mechanical,mechanical,single-letter-slip
109,αυτου·,24,αυτου,mechanical,mechanical,single-letter-slip
109,αυτου·,32,αυτου,mechanical,mechanical,single-letter-slip
111,υποστρεψασαι,22,υποσερεψασαι,mechanical,mechanical,single-letter-slip
111,υποστρεψασαι,23,ψασαι,substantive,substantive,lexical-substitution
111,υποστρεψασαι,24,στρεψασαι,substantive,substantive,lexical-substitution
111,υποστρεψασαι,32,υποστρεψα,substantive,substantive,lexical-substitution
112,απηγγειλαν,12,απεγγειλαν,mechanical,mechanical,single-letter-slip
112,απηγγειλαν,22,αηγγειλαν,mechanical,mechanical,single-letter-slip
112,απηγγειλαν,23,απεγγειλαι,mechanical,mechanical,minor-corruption
112,απηγγειλαν,24,απεγγειλαν,mechanical,mechanical,single-letter-slip
113,παντα,32,μετα,substantive,substantive,lexical-substitution
115,τοις,31,[om],substantive,substantive,omission
115,τοις,32,τους,mechanical,mechanical,single-letter-slip
116,ενδεκα,31,[om],substantive,substantive,omission
117,και,31,[om],substantive,substantive,omission
118,πασι,31,[om],substantive,substantive,omission
119,τοις,31,[om],substantive,substantive,omission
119,τοις,32,τους,mechanical,mechanical,single-letter-slip
129,ιακωβου,12,ιακοβου,orthographic,orthographic,vowel-interchange
